"parent.id","event.id","source","target","time","type"
"parent.id.1","parent.id.1","article.5","article.5","1","publication"
"parent.id.1","parent.id.1.author","article.5","scientist.2","1","author"
"parent.id.1","parent.id.1.author","article.5","scientist.3","1","author"
"parent.id.1","parent.id.1.ref","article.5","article.1","1","reference"
"parent.id.1","parent.id.1.ref","article.5","article.2","1","reference"
"parent.id.1","parent.id.1.ref","article.5","article.3","1","reference"
"parent.id.1","parent.id.1.key","article.5","key.1","1","keyword"
"parent.id.1","parent.id.1.key","article.5","key.2","1","keyword"
"parent.id.1","parent.id.1.key","article.5","key.3","1","keyword"
"parent.id.1","parent.id.1.key","article.5","key.4","1","keyword"
"parent.id.1","parent.id.1.editor","article.5","scientist.1","1","editor"
"parent.id.2","parent.id.2","article.6","article.6","2","publication"
"parent.id.2","parent.id.2.author","article.6","scientist.3","2","author"
"parent.id.2","parent.id.2.ref","article.6","article.1","2","reference"
"parent.id.2","parent.id.2.ref","article.6","article.2","2","reference"
"parent.id.2","parent.id.2.ref","article.6","article.4","2","reference"
"parent.id.2","parent.id.2.ref","article.6","article.5","2","reference"
"parent.id.2","parent.id.2.key","article.6","key.3","2","keyword"
"parent.id.2","parent.id.2.key","article.6","key.5","2","keyword"
"parent.id.2","parent.id.2.key","article.6","key.6","2","keyword"
"parent.id.2","parent.id.2.key","article.6","key.7","2","keyword"
"parent.id.2","parent.id.2.editor","article.6","scientist.2","2","editor"
